State,County,County Code,Deaths,Population,Crude Rate
AL,"Baldwin County, AL",1003,29,182265,15.91
AL,"Jefferson County, AL",1073,128,658466,19.44
AL,"Madison County, AL",1089,59,334811,17.62
AL,"Mobile County, AL",1097,73,412992,17.68
AL,"Montgomery County, AL",1101,36,229363,15.7
AL,"Shelby County, AL",1117,28,195085,14.35
AL,"Tuscaloosa County, AL",1125,31,194656,15.93
AK,"Anchorage Borough, AK",2020,49,291826,16.79
AZ,"Cochise County, AZ",4003,33,131346,25.12
AZ,"Coconino County, AZ",4005,21,134421,15.62
AZ,"Maricopa County, AZ",4013,497,3817117,13.02
AZ,"Mohave County, AZ",4015,43,200186,21.48
AZ,"Navajo County, AZ",4017,23,107449,21.41
AZ,"Pima County, AZ",4019,164,980263,16.73
AZ,"Pinal County, AZ",4021,49,375770,13.04
AZ,"Yavapai County, AZ",4025,48,211033,22.75
AR,"Benton County, AR",5007,24,221339,10.84
AR,"Garland County, AR",5051,20,96024,20.83
AR,"Pulaski County, AR",5119,65,382748,16.98
CA,"Alameda County, CA",6001,158,1510271,10.46
CA,"Butte County, CA",6007,25,220000,11.36
CA,"Contra Costa County, CA",6013,104,1049025,9.91
CA,"El Dorado County, CA",6017,22,181058,12.15
CA,"Fresno County, CA",6019,68,930450,7.31
CA,"Kern County, CA",6029,96,839631,11.43
CA,"Los Angeles County, CA",6037,799,9818605,8.14
CA,"Marin County, CA",6041,21,252409,8.32
CA,"Merced County, CA",6047,27,255793,10.56
CA,"Monterey County, CA",6053,50,415057,12.05
CA,"Orange County, CA",6059,147,3010232,4.88
CA,"Placer County, CA",6061,30,348432,8.61
CA,"Riverside County, CA",6065,133,2189641,6.07
CA,"Sacramento County, CA",6067,124,1418788,8.74
CA,"San Bernardino County, CA",6071,183,2035210,8.99
CA,"San Diego County, CA",6073,165,3095313,5.33
CA,"San Francisco County, CA",6075,54,805235,6.71
CA,"San Joaquin County, CA",6077,76,685306,11.09
CA,"San Luis Obispo County, CA",6079,31,269637,11.5
CA,"San Mateo County, CA",6081,40,718451,5.57
CA,"Santa Barbara County, CA",6083,21,423895,4.95
CA,"Santa Clara County, CA",6085,63,1781642,3.54
CA,"Santa Cruz County, CA",6087,21,262382,8
CA,"Shasta County, CA",6089,25,177223,14.11
CA,"Solano County, CA",6095,45,413344,10.89
CA,"Sonoma County, CA",6097,34,483878,7.03
CA,"Stanislaus County, CA",6099,44,514453,8.55
CA,"Tulare County, CA",6107,49,442179,11.08
CA,"Ventura County, CA",6111,37,823318,4.49
CO,"Adams County, CO",8001,27,441603,6.11
CO,"Arapahoe County, CO",8005,59,572003,10.31
CO,"Boulder County, CO",8013,28,294567,9.51
