Areaname,STCOU,Median.Age,Avg.Land.Value,Unemployment.Rate,Violent.Crimes,Murders.And.Manslaughters,Rapes,Robberies,Aggravated.Assaults,Property.Crimes,Burglaries,Larceny.Thefts,Motor.Vehicle.Thefts,High.School.Or.Higher.Pct,Bachelors.Or.Higher.Pct,Republican.Vote.Pct,Federal.Govt.Expenditure,Without.Health.Insurance.Pct,Total.Persons,Income.Per.Capita,Median.Household.Income,Poverty.Rate,Land.Area,Population.Density,Female.Pct,White.Pct,Black.Pct,Asian.Pct,Mixed.Race.Pct,Hispanic.Pct,Foreign.Born.Pct
UNITED STATES,0,37.2,1892,9.6,1355301,16056,83385,436458,819402,9448578,2158017,6350264,940297,84.6,27.5,45.7,3251308509,17.1,308745538,27041,50221,14.3,3531905.43,87.4,50.8,72.4,12.6,4.8,2.9,16.3,12.4
ALABAMA,1000,37.9,2292,9.5,19764,336,1503,7042,10883,178595,47238,118629,12728,80.8,21.5,60.3,56495652,14.6,4779736,22732,40547,17.5,50645.33,94.4,51.5,68.5,26.2,1.1,1.5,3.9,2.9
"Autauga, AL",1001,37,1947,8,116,3,19,24,70,1632,367,1156,109,85,21.8,73.6,349336,13.7,54571,23774,53081,11.2,594.44,91.8,51.3,78.5,17.7,0.9,1.6,2.4,1.6
"Baldwin, AL",1003,41.1,3270,8.9,306,5,63,56,182,3502,738,2622,142,87.5,26.6,75.3,1178384,18.3,182265,26197,48637,13.3,1589.78,114.6,51.1,85.7,9.4,0.7,1.5,4.4,3
"Barbour, AL",1005,39,1761,12.1,31,0,1,1,29,97,63,28,6,70.3,12.4,50.4,251450,13.5,27457,15842,28802,32.8,884.88,31,46.9,48,46.9,0.4,0.9,5.1,2.6
"Bibb, AL",1007,37.8,2244,10.7,44,0,5,5,34,355,107,215,33,72.2,11.1,72.4,172231,16.5,22915,18953,38294,18.1,622.58,36.8,46.3,75.8,22,0.1,0.9,1.8,1
"Blount, AL",1009,39,3201,8.9,27,0,0,5,22,321,49,251,21,72.9,12.3,84,304366,18.3,57322,20360,41520,14.6,644.78,88.9,50.5,92.6,1.3,0.2,1.2,8.1,4.5
"Bullock, AL",1011,38.5,2021,14.7,44,0,0,8,36,264,63,193,8,69.9,9,25.7,114563,15,10914,17746,24206,34.7,622.81,17.5,45.8,23,70.2,0.2,0.8,7.1,1.4
"Butler, AL",1013,40.1,2132,12.1,73,1,2,14,56,677,176,476,25,76.6,12.3,56.5,202512,14.4,20947,17221,27794,29.4,776.83,27,53,54.4,43.4,0.8,0.8,0.9,1
"Calhoun, AL",1015,38.2,3176,9.5,777,14,44,256,463,4535,1286,3009,240,78.4,17.5,65.7,1726312,13.1,118572,21372,37340,19,605.87,195.7,51.8,74.9,20.6,0.7,1.7,3.3,2.3
"Chambers, AL",1017,41.5,1809,13.7,193,2,24,69,98,1752,474,1201,77,72,10.3,53.9,306315,12.9,34215,17072,30621,20.7,596.53,57.4,52.2,58.8,38.7,0.5,1.1,1.6,0.7
"Cherokee, AL",1019,43.9,2176,9.1,18,0,1,1,16,287,51,227,9,70,10,74.9,184840,16.2,25989,20434,38024,18.4,553.7,46.9,50.4,92.7,4.6,0.2,1.5,1.2,0.3
"Chilton, AL",1021,37.6,2776,9.4,395,0,14,14,367,1146,269,823,54,74.6,11.3,78.5,288628,16.6,43643,20326,38916,18.7,692.85,63,50.5,84.1,9.7,0.3,1.2,7.8,3
"Choctaw, AL",1023,43.4,1719,11.4,0,0,0,0,0,23,11,10,2,71.4,10.8,53.5,147410,14.7,13859,16193,31067,22.8,913.5,15.2,51.7,55.8,43.4,0.1,0.4,0.5,0.4
"Clarke, AL",1025,40.2,1641,15.8,35,0,2,0,33,247,40,196,11,76.9,13.5,55.6,263343,16,25833,16790,32729,29.1,1238.47,20.9,52.7,54.5,43.9,0.3,0.7,1,0.8
"Clay, AL",1027,42,2344,13.9,13,0,4,0,9,153,59,87,7,70.8,9,73.1,134798,16,13932,18267,34831,19.2,603.96,23.1,51,81.7,14.8,0.2,1.7,2.9,2.1
"Cleburne, AL",1029,40.6,3076,8.4,46,1,2,4,39,336,98,204,34,69.6,10.2,80.3,105818,15.2,14972,18365,37870,17,560.1,26.7,50.2,94,3.3,0.2,1.1,2.1,0.9
"Coffee, AL",1031,37.6,2171,7.3,123,1,11,49,62,542,180,329,33,79,21.5,74.1,2081284,15.7,49948,22706,43296,15.7,678.97,73.6,50.6,74.7,16.7,1.3,2.5,6.4,4.4
"Colbert, AL",1033,41.8,2158,9.7,343,2,18,58,265,2163,507,1576,80,79.8,16.9,59.3,526122,14,54428,21689,37111,16,592.62,91.8,51.9,80.5,16.1,0.4,1.6,2,1.4
"Conecuh, AL",1035,43,1834,16.3,27,1,0,1,25,220,70,139,11,73.3,9.2,50,148704,13.2,13228,16960,26882,27.5,850.16,15.6,51.5,51.3,46.5,0.1,1,1.2,0.1
"Coosa, AL",1037,44.2,2087,13.1,24,0,3,1,20,268,103,160,5,71.9,9.2,58.4,93142,15.4,11539,18563,34795,16.7,650.93,17.7,50.4,66.3,31,0.1,0.9,2,0.7
"Covington, AL",1039,42.4,2241,9.1,94,2,17,11,64,803,169,607,27,75.6,13.2,78.8,377865,14.8,37765,18958,32179,22.5,1030.46,36.6,51.6,84.8,12.5,0.4,1.4,1.3,1
"Crenshaw, AL",1041,40.7,2131,8.7,25,1,2,1,21,261,73,167,21,72.4,11.2,68.7,139808,17.3,13906,19900,31849,20.6,608.84,22.8,51.7,72.6,23.4,1.4,1.5,1.5,3.7
"Cullman, AL",1043,39.9,3719,8.8,151,1,31,8,111,1385,373,939,73,75.2,13.3,81.8,626074,16,80406,20339,37425,19.3,734.84,109.4,50.6,94.7,1.1,0.4,1.1,4.3,2.3
"Dale, AL",1045,36.1,2110,8.5,177,0,13,37,127,1252,327,851,74,83.3,16.6,71.9,644260,14.5,50251,21299,41279,16.2,561.15,89.6,50.6,74.1,19.3,1.1,3,5.6,3.3
"Dallas, AL",1047,37.7,1649,17.3,339,5,24,75,235,2717,746,1714,257,75.3,13.9,32.6,614695,11.4,43820,16304,27088,35,978.7,44.8,53.8,29.1,69.4,0.3,0.7,0.7,0.9
"DeKalb, AL",1049,37.5,3462,11.6,122,2,15,14,91,1316,335,876,105,66.7,10.2,74.8,471597,17.6,71109,17552,33919,21.7,777.09,91.5,50.6,84.5,1.5,0.3,2.2,13.6,6
"Elmore, AL",1051,37.8,2606,8.4,144,2,20,36,86,2024,495,1463,66,83.1,18.8,75.1,525116,15.1,79303,21866,50194,14.2,618.49,128.2,51.2,76.2,20,0.7,1.4,2.7,1.9
"Escambia, AL",1053,39.2,2107,11.1,187,3,10,34,140,1107,221,828,58,74,11.2,63.9,316223,15.1,38319,16711,31443,22,945.08,40.5,48.4,62.1,31.9,0.2,1.5,1.9,1
"Etowah, AL",1055,40.2,3009,9.4,374,4,46,147,177,3476,747,2529,200,80.5,15.5,68.4,966571,13.7,104430,20354,38575,17.2,534.99,195.2,51.5,80.3,15.1,0.6,1.5,3.3,2.3
"Fayette, AL",1057,42.5,1700,11.8,25,1,3,7,14,322,72,217,33,74.9,9.7,73.9,153852,13.3,17241,18228,34262,19.6,627.66,27.5,50.7,86.5,11.4,0.2,1,1.2,0.5
"Franklin, AL",1059,37.8,2112,10.1,64,1,7,11,45,536,123,381,32,68.5,11.6,68.8,275407,17.3,31704,17610,32588,21.8,633.82,50,50.1,83,3.9,0.2,1.7,14.9,7.9
"Geneva, AL",1061,42,2066,9,59,0,6,8,45,512,165,300,47,72.4,8.4,80.8,255522,14.6,26790,17697,31347,19.4,574.41,46.6,51.1,86.3,9.5,0.3,1.6,3.4,1.5
"Greene, AL",1063,41.8,1546,16.9,98,0,2,17,79,310,130,159,21,68.6,9.2,16.5,111532,12.6,9045,14564,26131,28.4,647.11,14,52.8,17.4,81.5,0.2,0.5,0.8,0.7
"Hale, AL",1065,40,1829,12.1,76,2,4,7,63,297,105,148,44,68.7,9.1,39,182538,13.8,15760,15221,30124,26.6,643.94,24.5,52.6,39.8,59,0.2,0.6,0.9,0.9
"Henry, AL",1067,42.8,1816,9.4,57,1,7,4,45,399,111,268,20,74.8,13.7,64.6,173441,17.2,17302,18438,35215,18.7,561.75,30.8,52,68.6,28.6,0.3,1,2.2,2.5
"Houston, AL",1069,38.5,2125,8.4,432,3,40,198,191,4050,965,2879,206,81.3,19.4,70.1,744354,13.8,101547,22797,38751,17.7,579.82,175.1,52,70,25.8,0.8,1.7,2.9,1.8
"Jackson, AL",1071,41.4,2108,9.7,93,0,9,0,84,763,211,435,117,73.1,11.3,67.5,669125,14,53227,18742,35015,16.4,1077.87,49.4,50.9,90.8,3.3,0.3,2.6,2.5,1.3
"Jefferson, AL",1073,37.1,3435,9.4,5389,106,361,2473,2449,40488,11040,25867,3581,86.1,28.1,47.1,7448880,12,658466,26256,43312,16.5,1111.28,592.5,52.6,53,42,1.4,1.1,3.9,3.8
"Lamar, AL",1075,43.5,1425,12.8,10,0,0,4,6,77,21,47,9,74.8,9,76.6,144197,15.5,14564,19926,31226,18.2,604.85,24.1,51.3,86.7,11.3,0,1.3,1.2,0.5
"Lauderdale, AL",1077,40.4,2329,8.8,229,4,30,69,126,3057,865,2078,114,81,20.3,63.2,750513,15.5,92709,21737,39096,14.5,667.7,138.8,52.1,86.4,10,0.7,1.4,2.2,1.6
"Lawrence, AL",1079,40.6,2603,11,46,0,1,3,42,706,215,465,26,75,10.3,63.2,239927,14.5,34339,19795,36311,16.2,690.68,49.7,51.1,77.6,11.5,0.1,4.3,1.7,1.5
"Lee, AL",1081,29.5,3012,8.2,617,6,65,183,363,6422,2149,4064,209,84.6,30.7,59.3,762483,21,140247,22384,37836,20.7,607.54,230.8,50.7,71.3,22.7,2.6,1.6,3.3,3.9
