Median.Age,Unemployment.Rate,Violent.Crimes.Per.1000,Murders.And.Manslaughters.Per.1000,Rapes.Per.1000,Robberies.Per.1000,Aggravated.Assaults.Per.1000,Property.Crimes.Per.1000,Burglaries.Per.1000,Larceny.Thefts.Per.1000,Motor.Vehicle.Thefts.Per.1000,High.School.Or.Higher.Pct,Bachelors.Or.Higher.Pct,Republican.Vote.Pct,Without.Health.Insurance.Pct,Income.Per.Capita,Median.Household.Income,Poverty.Rate,Land.Area,Population.Density,Female.Pct,White.Pct,Black.Pct,Asian.Pct,Mixed.Race.Pct,Hispanic.Pct,Foreign.Born.Pct,County,Population,Crude.Rate,Gun.Law.Rank.2010,Federal.Govt.Expenditure.Per.Person
41.1,8.9,1.678874167,0.027432584,0.345650564,0.307244946,0.998546073,19.21378213,4.049049461,14.38564727,0.779085398,87.5,26.6,75.3,18.3,26197,48637,13.3,1589.78,114.6,51.1,85.7,9.4,0.7,1.5,4.4,3,"Baldwin County, AL",182265,15.91,24,6.465223713
37.3,7.3,4.650384844,0.053761674,0.361397923,1.451565211,2.783660035,42.90480301,10.38496346,28.45485961,4.064979944,87.9,37.9,56.9,14.7,29588,57327,10.3,801.59,417.7,50.9,68.2,24,2.5,2.5,4.6,4.8,"Madison County, AL",334811,17.62,24,29.27571973
36.6,10.2,4.62962963,0.157388037,0.152545328,2.852355494,1.467340772,47.38590578,12.32227259,30.79236402,4.271269177,82.1,19.7,54,15.2,21274,39828,18.7,1229.44,335.9,52,60.2,34.6,1.8,1.5,2.4,3,"Mobile County, AL",412992,17.68,24,9.52593997
34.9,9.3,4.154985765,0.100277726,0.244154463,2.123271844,1.687281732,58.79326657,16.44118711,37.94857933,4.403500129,84.3,30.5,40.1,12.5,25102,41084,19.9,784.25,292.5,52.4,39.5,54.7,2.1,1.3,3.6,2.9,"Montgomery County, AL",229363,15.7,24,21.4101141
37.1,9.4,8.184173518,0.160980218,0.548243949,3.755698852,3.7192505,61.48836842,16.76624154,39.28372915,5.43839773,86.1,28.1,47.1,12,26256,43312,16.5,1111.28,592.5,52.6,53,42,1.4,1.1,3.9,3.8,"Jefferson County, AL",658466,19.44,24,11.31247475
31.2,8.3,4.376952162,0.077059017,0.308236068,1.438434983,2.553222094,45.42885912,12.65309058,29.63689791,3.138870623,83.9,26.9,57.5,15.7,22489,41842,19.9,1321.76,147.3,51.5,66.3,29.6,1.2,1.1,3.1,3,"Tuscaloosa County, AL",194656,15.93,24,8.35554003
36.9,7,1.378886127,0.015377912,0.169157034,0.384447805,0.809903375,19.61196402,4.608247687,13.88112874,1.12258759,91.5,39.9,76.2,12.4,33607,65408,6.9,784.93,248.5,51,83,10.6,1.9,1.4,5.9,4.5,"Shelby County, AL",195085,14.35,24,4.707942692
34.3,6.4,2.091813914,0.018071826,0.501493185,0.112948915,1.459299988,19.0793308,4.811623799,13.53128007,0.736426929,83.2,24.9,67.2,21.7,24647,49226,13.1,847.36,261.2,50.7,82.6,1.3,2.9,2.7,15.5,9.3,"Benton County, AR",221339,10.84,44,4.32389231
44.4,8.1,6.685828543,0.041656253,0.458218779,1.228859452,4.95709406,67.0353245,19.70340748,43.46829959,3.863617429,85,19.6,61.4,21.8,22318,37427,14.7,677.78,141.7,51.5,86.4,7.9,0.7,2.3,4.8,3.9,"Garland County, AR",96024,20.83,44,10.59740273
36,7,10.38803599,0.141084996,0.59307952,3.158736296,6.49513518,69.29363445,17.86815346,46.29416744,5.131313554,88.3,31,43.5,17.1,26975,42107,16.7,759.76,503.8,51.9,57.5,35,2,2.1,5.8,4.6,"Pulaski County, AR",382748,16.98,44,17.02872909
